,work_year,experience_level,employment_type,job_title,salary,employee_residence,remote_ratio,company_location,company_size
84,2024,SE,FT,Research Engineer,485000,US,In person,US,M
174,2024,SE,FT,Data Science Manager,314100,US,In person,US,M
182,2024,MI,FT,Data Engineer,300000,US,In person,US,M
188,2024,SE,FT,Machine Learning Engineer,355000,US,In person,US,M
210,2024,SE,FT,Data Architect,363000,US,In person,US,M
232,2024,SE,FT,Machine Learning Engineer,324000,US,In person,US,M
260,2024,SE,FT,Research Scientist,303050,US,In person,US,M
284,2024,EX,FT,Data Science,340000,US,In person,US,M
409,2024,SE,FT,Applied Scientist,309400,US,In person,US,L
439,2024,SE,FT,Research Engineer,306000,US,In person,US,M
446,2024,SE,FT,Applied Scientist,315000,US,Fully remote,US,M
588,2024,EX,FT,Data Science,300000,US,Fully remote,US,M
658,2024,SE,FT,Machine Learning Engineer,309000,US,In person,US,M
764,2024,SE,FT,Research Scientist,300000,CA,Fully remote,CA,M
785,2024,EX,FT,Machine Learning Engineer,408500,US,In person,US,M
815,2024,SE,FT,Data Engineer,300000,US,In person,US,M
892,2024,MI,FT,Data Product Owner,321830,US,In person,US,M
956,2024,EX,FT,Data Engineer,312287,US,In person,US,M
1042,2024,SE,FT,Machine Learning Engineer,550000,US,In person,US,M
1043,2024,SE,FT,Machine Learning Engineer,310000,US,In person,US,M
1046,2024,SE,FT,Machine Learning Engineer,550000,US,In person,US,M
1047,2024,SE,FT,Machine Learning Engineer,310000,US,In person,US,M
1084,2024,SE,FT,Machine Learning Infrastructure Engineer,300000,US,In person,US,M
1102,2024,SE,FT,Machine Learning Engineer,324000,US,In person,US,M
1116,2024,SE,FT,Machine Learning Engineer,309000,US,In person,US,M
1119,2024,SE,FT,Data Scientist,323295,CH,Hybrid,CH,L
1126,2024,SE,FT,Research Scientist,337300,US,In person,US,M
1167,2024,EX,FT,Business Intelligence,320000,US,In person,US,M
1209,2024,SE,FT,Data Architect,400000,US,Fully remote,US,M
1259,2024,SE,FT,Research Scientist,337300,US,In person,US,M
1285,2024,EX,FT,Data Science,300000,US,Fully remote,US,M
1299,2024,MI,FT,Machine Learning Scientist,720000,US,In person,US,M
1303,2024,SE,FT,Research Scientist,321000,US,In person,US,M
1317,2024,EX,FT,Machine Learning Engineer,408500,US,In person,US,M
1344,2024,SE,FT,AI Architect,449000,US,In person,US,M
1346,2024,SE,FT,Data Scientist,359170,US,In person,US,M
