,work_year,experience_level,employment_type,job_title,salary,employee_residence,remote_ratio,company_location,company_size
0,2024,MI,FT,Data Science,75000,US,Fully remote,US,M
1,2024,MI,FT,Data Science,55000,US,Fully remote,US,M
2,2024,EX,FT,Data Engineer,253900,US,In person,US,M
3,2024,EX,FT,Data Engineer,145100,US,In person,US,M
4,2024,MI,FT,Research Scientist,138000,US,In person,US,M
5,2024,MI,FT,Research Scientist,86000,US,In person,US,M
6,2024,SE,FT,Research Scientist,179000,US,In person,US,M
7,2024,SE,FT,Research Scientist,112000,US,In person,US,M
8,2024,EN,FT,Data Management Analyst,105000,CA,In person,CA,M
9,2024,EN,FT,Data Management Analyst,80800,CA,In person,CA,M
10,2024,EN,FT,Data Analyst,64500,US,In person,US,M
11,2024,EN,FT,Data Analyst,46500,US,In person,US,M
12,2024,SE,FT,Data Engineer,120750,US,In person,US,M
13,2024,SE,FT,Data Engineer,85000,US,In person,US,M
14,2024,SE,FT,Data Architect,180000,US,Fully remote,US,M
15,2024,SE,FT,Data Architect,144000,US,Fully remote,US,M
16,2024,SE,FT,Data Analyst,144606,US,In person,US,M
17,2024,SE,FT,Data Analyst,128539,US,In person,US,M
18,2024,MI,FT,BI Developer,79400,US,In person,US,M
19,2024,MI,FT,BI Developer,55600,US,In person,US,M
20,2024,MI,FT,Data Engineer,131700,US,In person,US,M
21,2024,MI,FT,Data Engineer,84000,US,In person,US,M
22,2024,SE,FT,Data Science,206000,US,In person,US,M
23,2024,SE,FT,Data Science,106605,US,In person,US,M
24,2024,MI,FT,Data Analyst,179000,US,In person,US,M
25,2024,MI,FT,Data Analyst,112000,US,In person,US,M
26,2024,SE,FT,Business Intelligence,120750,US,In person,US,M
27,2024,SE,FT,Business Intelligence,85000,US,In person,US,M
28,2024,SE,FT,Research Scientist,175000,US,In person,US,M
29,2024,SE,FT,Research Scientist,118000,US,In person,US,M
30,2024,SE,FT,Data Analyst,194000,US,In person,US,M
31,2024,SE,FT,Data Analyst,122000,US,In person,US,M
32,2024,SE,FT,Business Intelligence,142250,US,In person,US,M
33,2024,SE,FT,Business Intelligence,100000,US,In person,US,M
34,2024,MI,FT,Data Scientist,99000,US,In person,US,M
35,2024,MI,FT,Data Scientist,87000,US,In person,US,M
36,2024,EN,FT,Research Engineer,118400,US,In person,US,M
37,2024,EN,FT,Research Engineer,64000,US,In person,US,M
38,2024,MI,FT,Machine Learning Engineer,176000,US,In person,US,M
39,2024,MI,FT,Machine Learning Engineer,72700,US,In person,US,M
42,2024,MI,FT,Data Engineer,145000,US,In person,US,M
43,2024,MI,FT,Data Engineer,120000,US,In person,US,M
44,2024,EN,FT,Research Analyst,126225,US,In person,US,M
45,2024,EN,FT,Research Analyst,61846,US,In person,US,M
46,2024,SE,FT,Data Analyst,114200,US,In person,US,M
47,2024,SE,FT,Data Analyst,92900,US,In person,US,M
48,2024,SE,FT,Data Engineer,219700,US,In person,US,M
49,2024,SE,FT,Data Engineer,137300,US,In person,US,M
50,2024,SE,FT,Business Intelligence Engineer,108500,US,In person,US,M
51,2024,SE,FT,Business Intelligence Engineer,78800,US,In person,US,M
52,2024,MI,FT,Data Scientist,55328,ZA,In person,ZA,M
53,2024,MI,FT,Data Scientist,42457,ZA,In person,ZA,M
54,2024,SE,FT,Data Analyst,95000,US,In person,US,M
55,2024,SE,FT,Data Analyst,85000,US,In person,US,M
56,2024,MI,FT,Data Quality Manager,55555,ES,In person,ES,M
57,2024,MI,FT,Data Quality Manager,44444,ES,In person,ES,M
58,2024,SE,FT,Data Modeler,155000,US,Fully remote,US,M
59,2024,SE,FT,Data Modeler,140000,US,Fully remote,US,M
60,2024,MI,FT,Data Analytics Manager,128000,US,In person,US,M
61,2024,MI,FT,Data Analytics Manager,81500,US,In person,US,M
62,2024,MI,FT,Business Intelligence Analyst,95000,US,Fully remote,US,M
63,2024,MI,FT,Business Intelligence Analyst,68000,US,Fully remote,US,M
64,2024,EN,FT,Data Scientist,194500,US,In person,US,M
65,2024,EN,FT,Data Scientist,125500,US,In person,US,M
66,2024,MI,FT,Data Scientist,187000,US,In person,US,M
67,2024,MI,FT,Data Scientist,153000,US,In person,US,M
68,2024,SE,FT,Data Architect,146000,US,In person,US,M
69,2024,SE,FT,Data Architect,128000,US,In person,US,M
70,2024,MI,FT,Data Scientist,130500,US,In person,US,M
71,2024,MI,FT,Data Scientist,96000,US,In person,US,M
